OBJECTID,Freeway,1km_radius,ROAD_GEOMETRY
3442244,,N,T intersection
3442449,,N,Not at intersection
3442449,,N,Not at intersection
3442576,,N,Not at intersection
3442624,1.0,Y,Not at intersection
3442624,1.0,Y,Not at intersection
3442802,,N,Not at intersection
3442802,,N,Not at intersection
3442803,,Y,Not at intersection
3442852,1.0,N,T intersection
3442852,1.0,N,T intersection
3443046,,Y,T intersection
3443049,,N,Not at intersection
3443049,,N,Not at intersection
3443344,,Y,Not at intersection
3443344,,N,Not at intersection
3443460,,N,Cross intersection
3443579,,Y,Dead end
3443679,,N,T intersection
3443829,,N,Not at intersection
3444027,,N,Not at intersection
3444027,,N,Not at intersection
3444348,,Y,T intersection
3444348,,N,T intersection
3444358,,N,Not at intersection
3444404,,N,T intersection
3444619,1.0,N,T intersection
3444619,1.0,N,T intersection
3444627,,Y,Cross intersection
3444627,,N,Cross intersection
3444696,,Y,T intersection
3444696,,N,T intersection
3444754,,N,T intersection
3444754,,N,T intersection
3444778,1.0,Y,Not at intersection
3444778,1.0,N,Not at intersection
3444778,1.0,N,Not at intersection
3444893,,N,Not at intersection
3445005,,N,Cross intersection
3445351,1.0,N,T intersection
3445351,1.0,N,T intersection
3445351,1.0,N,T intersection
3445746,,Y,Not at intersection
3445746,,N,Not at intersection
3445764,,Y,Cross intersection
3445822,,Y,Not at intersection
3445846,1.0,Y,Multiple intersection
3445846,1.0,N,Multiple intersection
3445846,1.0,N,Multiple intersection
3445911,,Y,Not at intersection
3445911,,Y,Not at intersection
3446127,1.0,N,Not at intersection
3446127,1.0,N,Not at intersection
3446252,,N,Cross intersection
3446334,1.0,N,T intersection
3446334,1.0,N,T intersection
3446460,,N,T intersection
3446460,,N,T intersection
3446718,1.0,Y,T intersection
3446718,1.0,N,T intersection
3446718,1.0,N,T intersection
3447047,,Y,Cross intersection
3447047,,N,Cross intersection
3447085,,Y,T intersection
3447140,,N,Not at intersection
3447190,1.0,Y,T intersection
3447190,1.0,N,T intersection
3447190,1.0,N,T intersection
3447195,,N,Not at intersection
3447206,,Y,T intersection
3447466,,N,T intersection
3447468,1.0,Y,Not at intersection
3447468,1.0,N,Not at intersection
3447523,1.0,Y,Cross intersection
3447523,1.0,N,Cross intersection
3447523,1.0,N,Cross intersection
3447643,1.0,N,Not at intersection
3447643,1.0,N,Not at intersection
3447678,1.0,N,Not at intersection
3447678,1.0,N,Not at intersection
3447732,,N,Not at intersection
3447732,,N,Not at intersection
3447973,,Y,Not at intersection
3448005,1.0,N,Not at intersection
3448005,1.0,N,Not at intersection
3448202,1.0,N,Not at intersection
3448202,1.0,N,Not at intersection
3448202,1.0,N,Not at intersection
3448258,,N,Not at intersection
3448445,1.0,N,Not at intersection
3448445,1.0,N,Not at intersection
3448445,1.0,N,Not at intersection
3448678,1.0,N,Not at intersection
3448678,1.0,N,Not at intersection
3448678,1.0,N,Not at intersection
3448720,,N,Not at intersection
3449040,,N,Not at intersection
3449099,,N,T intersection
3449161,,N,Not at intersection
3449161,,N,Not at intersection
3449298,,N,Not at intersection
3449316,,N,Not at intersection
3449316,,N,Not at intersection
3449332,,Y,Cross intersection
3449351,,N,Not at intersection
3449586,,N,Multiple intersection
3449673,1.0,Y,Not at intersection
3449673,1.0,N,Not at intersection
3449728,,N,Not at intersection
3449728,,N,Not at intersection
3449742,,Y,Not at intersection
3449958,1.0,N,T intersection
3449958,1.0,N,T intersection
3449958,1.0,N,T intersection
3450094,,N,T intersection
3450263,,N,Not at intersection
3450263,,N,Not at intersection
3450365,,Y,Cross intersection
3450365,,N,Cross intersection
3450373,,N,T intersection
3450373,,N,T intersection
3450595,,N,Cross intersection
3450595,,N,Cross intersection
3450682,,N,Cross intersection
3450694,,N,Cross intersection
3450782,1.0,N,Not at intersection
3450782,1.0,N,Not at intersection
3450895,,N,Not at intersection
3451186,,N,T intersection
3451653,1.0,N,Not at intersection
3451815,,Y,Multiple intersection
3452074,,N,Not at intersection
3452074,,N,Not at intersection
3452322,,Y,Not at intersection
3452322,,N,Not at intersection
3452395,,N,Cross intersection
3452579,,N,Cross intersection
3452579,,N,Cross intersection
3452694,,Y,Not at intersection
3452946,,N,Not at intersection
3453026,1.0,Y,Not at intersection
3453026,1.0,N,Not at intersection
3453026,1.0,N,Not at intersection
3453176,,N,Not at intersection
3453438,,N,Not at intersection
3453840,1.0,N,T intersection
3453840,1.0,N,T intersection
3453997,1.0,N,Not at intersection
3453997,1.0,N,Not at intersection
3453997,1.0,N,Not at intersection
3454090,1.0,N,T intersection
3454090,1.0,N,T intersection
3454386,,Y,Cross intersection
3454386,,N,Cross intersection
3454388,,N,T intersection
3454394,1.0,Y,Not at intersection
3454394,1.0,N,Not at intersection
3454521,,Y,Not at intersection
3454521,,N,Not at intersection
3454581,,N,T intersection
3454832,,N,Not at intersection
3455189,,N,Not at intersection
3455235,,N,Not at intersection
3455396,,N,Not at intersection
3455396,,N,Not at intersection
3455448,1.0,N,Not at intersection
3455466,,N,Not at intersection
3455774,,N,Not at intersection
3456128,1.0,N,T intersection
3456128,1.0,N,T intersection
3456128,1.0,N,T intersection
3456312,1.0,N,Not at intersection
3456312,1.0,N,Not at intersection
3456366,,N,Cross intersection
3456366,,N,Cross intersection
3456719,,Y,T intersection
3456719,,N,T intersection
3456738,1.0,Y,T intersection
3456738,1.0,N,T intersection
3456761,,N,Not at intersection
3456810,,N,Not at intersection
3456935,,N,Cross intersection
3457158,1.0,Y,T intersection
3457158,1.0,N,T intersection
3457158,1.0,N,T intersection
3457350,,N,Not at intersection
3457350,,N,Not at intersection
3457506,1.0,N,Not at intersection
3457506,1.0,N,Not at intersection
3457624,,Y,Not at intersection
3457787,1.0,Y,T intersection
3457787,1.0,N,T intersection
3457787,1.0,N,T intersection
3457827,,N,Cross intersection
3457874,1.0,Y,T intersection
3457874,1.0,N,T intersection
3457874,1.0,N,T intersection
3457982,1.0,N,Not at intersection
3457982,1.0,N,Not at intersection
3457982,1.0,N,Not at intersection
3457984,,N,Not at intersection
3458123,1.0,N,Not at intersection
3458123,1.0,N,Not at intersection
3458123,1.0,N,Not at intersection
3458608,,Y,Not at intersection
3458608,,N,Not at intersection
3458615,1.0,Y,Not at intersection
3458615,1.0,Y,Not at intersection
3458615,1.0,N,Not at intersection
3458753,,N,Cross intersection
3458778,,N,Not at intersection
3458778,,N,Not at intersection
3458812,1.0,Y,Not at intersection
3458812,1.0,N,Not at intersection
3458821,1.0,Y,Not at intersection
3458821,1.0,N,Not at intersection
3458821,1.0,N,Not at intersection
3458870,1.0,N,T intersection
3458870,1.0,N,T intersection
3458870,1.0,N,T intersection
3458899,1.0,N,Cross intersection
3458899,1.0,N,Cross intersection
3458899,1.0,N,Cross intersection
3458919,,Y,Cross intersection
3458919,,N,Cross intersection
3459168,,Y,Not at intersection
3459197,,N,Not at intersection
3459225,,Y,Not at intersection
3459225,,N,Not at intersection
3459545,,N,Not at intersection
3459545,,N,Not at intersection
3459665,,N,Cross intersection
3459833,,Y,Not at intersection
3459833,,N,Not at intersection
3460048,1.0,N,Cross intersection
3460048,1.0,N,Cross intersection
3460051,,Y,Cross intersection
3460051,,N,Cross intersection
3460210,,Y,Not at intersection
3460210,,N,Not at intersection
3460380,1.0,N,T intersection
3460380,1.0,N,T intersection
3460380,1.0,N,T intersection
3460424,,N,T intersection
3460424,,N,T intersection
3460561,,N,Not at intersection
3460581,,N,Not at intersection
3460731,1.0,N,Not at intersection
3460731,1.0,N,Not at intersection
3460777,1.0,N,Not at intersection
3460777,1.0,N,Not at intersection
3460777,1.0,N,Not at intersection
3460977,,N,Cross intersection
3461005,,Y,Not at intersection
3461005,,Y,Not at intersection
3461012,1.0,N,T intersection
3461012,1.0,N,T intersection
3461012,1.0,N,T intersection
3461395,1.0,Y,Not at intersection
3461395,1.0,N,Not at intersection
3461395,1.0,N,Not at intersection
3461436,,Y,T intersection
3461555,,Y,T intersection
3461555,,N,T intersection
3461873,1.0,Y,Cross intersection
3461873,1.0,N,Cross intersection
3461873,1.0,N,Cross intersection
3461958,,Y,T intersection
3461958,,N,T intersection
3461979,1.0,Y,Not at intersection
3461979,1.0,N,Not at intersection
3461979,1.0,N,Not at intersection
3462199,1.0,Y,Not at intersection
3462199,1.0,N,Not at intersection
3462199,1.0,N,Not at intersection
3462298,1.0,N,Not at intersection
3462298,1.0,N,Not at intersection
3462298,1.0,N,Not at intersection
3462504,,N,Not at intersection
3462768,,N,Not at intersection
3462807,,N,Not at intersection
3462807,,N,Not at intersection
3462946,1.0,Y,Cross intersection
3462946,1.0,N,Cross intersection
3462946,1.0,N,Cross intersection
