,Length of Roads  km,,,,Total Expenditure,,,,
LGA_NAME,Local Roads - Sealed-length,Local Roads - Unsealed - Formed &  Sheeted-length,Local Roads - Unsealed - Natural Surface_length,Total_roadlength,Local Roads - Sealed-expenditure,Local Roads - Unsealed - Formed &  Sheeted-expenditure,Local Roads - Unsealed - Natural Surface-expenditure,Roads Ancillary-expenditure,Total-expenditure
Moreland ,520.00,0.00,1.00,521.00,13276541.00,0.00,0.00,7130727.00,20459097.00
Mornington Peninsula ,1369.00,329.00,9.00,1707.00,26942610.00,0.00,0.00,0.00,26942610.00
Mount Alexander ,547.00,875.00,6.00,1428.00,2823007.00,2643441.00,0.00,1720477.00,8311242.00
Moyne ,1621.00,1042.00,81.00,2744.00,15295226.00,1768187.00,0.00,1130470.00,19523588.00
Murrindindi ,491.00,668.00,41.00,1201.00,2963328.00,3492829.00,0.00,550206.00,7698179.00
Nillumbik ,462.00,0.00,311.00,773.00,3539969.00,0.00,3393826.00,1194432.00,8184752.00
Northern Grampians ,807.00,2146.00,422.00,3375.00,4389677.00,2287336.00,0.00,2677115.00,10560724.00
Port Phillip ,215.00,0.00,0.00,215.00,3275216.00,0.00,0.00,8664971.00,11940187.00
Pyrenees ,738.00,1237.00,61.00,2036.00,5592130.00,4044300.00,70753.00,353234.00,11905452.00
Queenscliffe ,42.00,1.00,0.00,43.00,1033823.00,502.00,0.00,228782.00,1263107.00
South Gippsland ,809.00,1292.00,0.00,2101.00,7928627.00,5818849.00,0.00,1167440.00,16899969.00
Southern Grampians ,1678.00,1081.00,233.00,2992.00,13452142.00,643360.00,0.00,0.00,21336484.00
Stonnington ,330.00,0.00,0.00,330.00,5238102.00,70000.00,0.00,0.00,5459795.00
Strathbogie ,735.00,1286.00,183.00,2204.00,7295674.00,7270360.00,0.00,228014.00,17059133.00
Surf Coast ,593.00,481.00,46.00,1120.00,7616.00,3378.00,0.00,1122.00,12209.00
Swan Hill ,884.00,1137.00,1468.00,3489.00,5847550.00,1582361.00,84316.00,0.00,7514227.00
Towong ,378.00,798.00,7.00,1183.00,4113578.00,868356.00,0.00,239757.00,5233100.00
Wangaratta ,694.00,1155.00,113.00,1962.00,5767985.00,3762863.00,0.00,1684476.00,11801141.00
Warrnambool ,305.00,26.00,7.00,337.00,4240714.00,187533.00,0.00,7948633.00,12418397.00
Wellington ,1497.00,1535.00,0.00,3032.00,10241208.00,4057634.00,0.00,5897317.00,20669111.00
West Wimmera ,825.00,1420.00,530.00,2775.00,4991702.00,4619707.00,477463.00,260000.00,10915009.00
Whitehorse ,632.00,1.00,0.00,633.00,6112000.00,0.00,0.00,0.00,6112000.00
Whittlesea ,1177.00,82.00,0.00,1259.00,12102367.00,870201.00,0.00,0.00,12972568.00
Wodonga ,428.00,74.00,0.00,502.00,4239793.00,666142.00,0.00,444095.00,5407762.00
Wyndham ,1472.00,56.00,30.00,1558.00,33383750.00,98321.00,0.00,0.00,33482071.00
Yarra ,216.00,0.00,0.00,216.00,6936000.00,0.00,0.00,4151000.00,11087000.00
Yarra Ranges ,1017.00,733.00,4.00,1754.00,29208230.00,2048989.00,0.00,10105074.00,41944835.00
Yarriambiack ,816.00,1233.00,2772.00,4821.00,5415625.00,2044635.00,997893.00,0.00,8506824.00
