SEX_ABS,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sum of Value,Column Labels,,,,,,,,,,,,,,,,,,
Row Labels,100 and over,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 94,95 - 99,Grand Total
Moorabool (S),10,2082,1711,1657,1833,2045,2191,2401,2359,2155,1964,1875,1347,782,488,308,150,21,25379
Moreland (C),40,7115,12878,17930,17497,14171,11498,10274,8936,7674,6174,5298,4259,4489,3970,2840,1202,233,136478
Mornington Peninsula (S),36,8945,7409,6561,6930,7837,10081,10909,10343,10465,10537,11320,9578,7198,4973,3229,1405,392,128148
Mount Alexander (S),4,933,723,746,801,982,1183,1391,1425,1563,1678,1529,1112,819,508,350,165,42,15954
Moyne (S),4,978,717,735,795,884,1094,1133,1241,1257,1231,1096,738,520,345,244,102,21,13135
Murrindindi (S),0,697,513,498,621,731,876,979,1006,1213,1163,1188,899,531,319,195,88,25,11542
Nillumbik (S),9,4612,3951,2868,2774,3409,4611,5120,4952,4865,4017,3248,2139,1232,715,441,208,48,49219
No usual address (Vic.),0,357,898,994,856,693,601,524,451,425,390,311,174,78,45,26,8,3,6834
Northern Grampians (S),11,663,511,590,480,518,651,751,886,880,953,912,686,506,342,251,106,28,9725
Port Phillip (C),18,2896,6555,12710,13540,9953,8161,7334,6150,5646,4557,4110,2841,1917,1283,890,425,110,89096
Pyrenees (S),3,327,258,259,310,346,445,507,540,629,703,650,509,293,162,116,45,10,6112
Queenscliffe (B),0,138,72,51,78,77,129,146,185,211,289,331,295,222,164,103,37,8,2536
South Gippsland (S),11,1614,1147,1201,1323,1333,1663,1888,2069,2235,2308,2351,1688,1160,791,503,237,59,23581
Southern Grampians (S),3,998,740,690,774,760,888,1055,1127,1187,1237,1126,899,644,488,372,167,46,13201
Stonnington (C),22,4680,9561,13323,11347,7690,6463,6413,5711,5236,4749,4607,3564,2963,2167,1516,735,199,90946
Strathbogie (S),5,486,354,411,420,474,501,603,756,878,970,927,722,518,373,242,117,17,8774
